"SubID","Decision","Speed","Question","Response"
"1","immoral","Quick","MC1",7
"1","immoral","Slow","MC1",3
"2","moral","Quick","MC1",6
"2","moral","Slow","MC1",3
"3","moral","Quick","MC1",7
"3","moral","Slow","MC1",4
"4","immoral","Quick","MC1",7
"4","immoral","Slow","MC1",2
"5","moral","Quick","MC1",6
"5","moral","Slow","MC1",3
"6","immoral","Quick","MC1",7
"6","immoral","Slow","MC1",1
"7","immoral","Quick","MC1",7
"7","immoral","Slow","MC1",2
"8","immoral","Quick","MC1",7
"8","immoral","Slow","MC1",1
"9","moral","Quick","MC1",7
"9","moral","Slow","MC1",1
"10","immoral","Quick","MC1",6
"10","immoral","Slow","MC1",3
"11","moral","Quick","MC1",7
"11","moral","Slow","MC1",1
"12","immoral","Quick","MC1",7
"12","immoral","Slow","MC1",1
"13","immoral","Quick","MC1",7
"13","immoral","Slow","MC1",1
"14","moral","Quick","MC1",7
"14","moral","Slow","MC1",2
"15","moral","Quick","MC1",6
"15","moral","Slow","MC1",2
"16","moral","Quick","MC1",7
"16","moral","Slow","MC1",1
"17","moral","Quick","MC1",6
"17","moral","Slow","MC1",3
"18","moral","Quick","MC1",6
"18","moral","Slow","MC1",1
"19","immoral","Quick","MC1",7
"19","immoral","Slow","MC1",2
"20","moral","Quick","MC1",6
"20","moral","Slow","MC1",2
"21","moral","Quick","MC1",3
"21","moral","Slow","MC1",6
"22","immoral","Quick","MC1",7
"22","immoral","Slow","MC1",1
"23","immoral","Quick","MC1",7
"23","immoral","Slow","MC1",2
"24","immoral","Quick","MC1",7
"24","immoral","Slow","MC1",3
"25","moral","Quick","MC1",7
"25","moral","Slow","MC1",2
"26","moral","Quick","MC1",7
"26","moral","Slow","MC1",3
"27","moral","Quick","MC1",6
"27","moral","Slow","MC1",3
"28","immoral","Quick","MC1",7
"28","immoral","Slow","MC1",1
"29","moral","Quick","MC1",5
"29","moral","Slow","MC1",5
"30","immoral","Quick","MC1",7
"30","immoral","Slow","MC1",1
"31","immoral","Quick","MC1",7
"31","immoral","Slow","MC1",1
"32","immoral","Quick","MC1",7
"32","immoral","Slow","MC1",3
"33","immoral","Quick","MC1",7
"33","immoral","Slow","MC1",2
"34","moral","Quick","MC1",7
"34","moral","Slow","MC1",1
"35","moral","Quick","MC1",7
"35","moral","Slow","MC1",1
"36","immoral","Quick","MC1",7
"36","immoral","Slow","MC1",1
"37","immoral","Quick","MC1",6
"37","immoral","Slow","MC1",1
"38","immoral","Quick","MC1",7
"38","immoral","Slow","MC1",2
"39","immoral","Quick","MC1",6
"39","immoral","Slow","MC1",3
"40","moral","Quick","MC1",6
"40","moral","Slow","MC1",2
"41","immoral","Quick","MC1",7
"41","immoral","Slow","MC1",1
"42","immoral","Quick","MC1",5
"42","immoral","Slow","MC1",3
"43","immoral","Quick","MC1",7
"43","immoral","Slow","MC1",1
"44","immoral","Quick","MC1",6
"44","immoral","Slow","MC1",1
"45","moral","Quick","MC1",7
"45","moral","Slow","MC1",1
"46","immoral","Quick","MC1",7
"46","immoral","Slow","MC1",3
"47","moral","Quick","MC1",6
"47","moral","Slow","MC1",2
"48","moral","Quick","MC1",7
"48","moral","Slow","MC1",2
"49","immoral","Quick","MC1",7
"49","immoral","Slow","MC1",3
"50","moral","Quick","MC1",6
"50","moral","Slow","MC1",2
"51","immoral","Quick","MC1",7
"51","immoral","Slow","MC1",2
"52","immoral","Quick","MC1",6
"52","immoral","Slow","MC1",2
"53","immoral","Quick","MC1",7
"53","immoral","Slow","MC1",4
"54","immoral","Quick","MC1",7
"54","immoral","Slow","MC1",4
"55","immoral","Quick","MC1",7
"55","immoral","Slow","MC1",4
"56","immoral","Quick","MC1",7
"56","immoral","Slow","MC1",1
"57","moral","Quick","MC1",7
"57","moral","Slow","MC1",1
"58","moral","Quick","MC1",6
"58","moral","Slow","MC1",2
"59","moral","Quick","MC1",3
"59","moral","Slow","MC1",5
"60","immoral","Quick","MC1",7
"60","immoral","Slow","MC1",2
"61","immoral","Quick","MC1",7
"61","immoral","Slow","MC1",1
"62","moral","Quick","MC1",7
"62","moral","Slow","MC1",1
"63","immoral","Quick","MC1",7
"63","immoral","Slow","MC1",1
"64","moral","Quick","MC1",7
"64","moral","Slow","MC1",1
"65","moral","Quick","MC1",7
"65","moral","Slow","MC1",1
"66","immoral","Quick","MC1",7
"66","immoral","Slow","MC1",1
"67","immoral","Quick","MC1",7
"67","immoral","Slow","MC1",1
"68","immoral","Quick","MC1",7
"68","immoral","Slow","MC1",1
"69","immoral","Quick","MC1",6
"69","immoral","Slow","MC1",2
"70","moral","Quick","MC1",7
"70","moral","Slow","MC1",1
"71","moral","Quick","MC1",5
"71","moral","Slow","MC1",4
"72","moral","Quick","MC1",7
"72","moral","Slow","MC1",4
"73","immoral","Quick","MC1",7
"73","immoral","Slow","MC1",4
"74","immoral","Quick","MC1",7
"74","immoral","Slow","MC1",1
"75","immoral","Quick","MC1",7
"75","immoral","Slow","MC1",2
"76","immoral","Quick","MC1",7
"76","immoral","Slow","MC1",4
"77","moral","Quick","MC1",6
"77","moral","Slow","MC1",2
"78","immoral","Quick","MC1",6
"78","immoral","Slow","MC1",1
"79","moral","Quick","MC1",7
"79","moral","Slow","MC1",2
"80","immoral","Quick","MC1",7
"80","immoral","Slow","MC1",2
"81","moral","Quick","MC1",7
"81","moral","Slow","MC1",4
"82","immoral","Quick","MC1",6
"82","immoral","Slow","MC1",3
"83","moral","Quick","MC1",7
"83","moral","Slow","MC1",1
"84","moral","Quick","MC1",7
"84","moral","Slow","MC1",3
"85","moral","Quick","MC1",7
"85","moral","Slow","MC1",3
"86","immoral","Quick","MC1",7
"86","immoral","Slow","MC1",1
"87","moral","Quick","MC1",6
"87","moral","Slow","MC1",2
"88","moral","Quick","MC1",6
"88","moral","Slow","MC1",1
"89","immoral","Quick","MC1",7
"89","immoral","Slow","MC1",1
"90","immoral","Quick","MC1",7
"90","immoral","Slow","MC1",4
"91","immoral","Quick","MC1",6
"91","immoral","Slow","MC1",2
"92","moral","Quick","MC1",6
"92","moral","Slow","MC1",2
"93","moral","Quick","MC1",7
"93","moral","Slow","MC1",2
"94","moral","Quick","MC1",7
"94","moral","Slow","MC1",2
"95","moral","Quick","MC1",5
"95","moral","Slow","MC1",4
"96","immoral","Quick","MC1",7
"96","immoral","Slow","MC1",1
"97","immoral","Quick","MC1",7
"97","immoral","Slow","MC1",1
"98","moral","Quick","MC1",7
"98","moral","Slow","MC1",2
"99","moral","Quick","MC1",7
"99","moral","Slow","MC1",1
"100","immoral","Quick","MC1",7
"100","immoral","Slow","MC1",1
"101","immoral","Quick","MC1",7
"101","immoral","Slow","MC1",5
"102","moral","Quick","MC1",7
"102","moral","Slow","MC1",3
"103","moral","Quick","MC1",6
"103","moral","Slow","MC1",2
"104","moral","Quick","MC1",7
"104","moral","Slow","MC1",2
"105","moral","Quick","MC1",6
"105","moral","Slow","MC1",2
"106","immoral","Quick","MC1",7
"106","immoral","Slow","MC1",2
"107","moral","Quick","MC1",7
"107","moral","Slow","MC1",1
"108","moral","Quick","MC1",7
"108","moral","Slow","MC1",1
"109","immoral","Quick","MC1",7
"109","immoral","Slow","MC1",2
"110","immoral","Quick","MC1",7
"110","immoral","Slow","MC1",2
"111","immoral","Quick","MC1",7
"111","immoral","Slow","MC1",1
"112","immoral","Quick","MC1",6
"112","immoral","Slow","MC1",2
"113","moral","Quick","MC1",7
"113","moral","Slow","MC1",1
"114","moral","Quick","MC1",6
"114","moral","Slow","MC1",1
"115","immoral","Quick","MC1",7
"115","immoral","Slow","MC1",1
"116","immoral","Quick","MC1",6
"116","immoral","Slow","MC1",2
"117","moral","Quick","MC1",6
"117","moral","Slow","MC1",2
"118","moral","Quick","MC1",6
"118","moral","Slow","MC1",2
"119","immoral","Quick","MC1",7
"119","immoral","Slow","MC1",1
"1","immoral","Quick","MC2",7
"1","immoral","Slow","MC2",2
"2","moral","Quick","MC2",6
"2","moral","Slow","MC2",2
"3","moral","Quick","MC2",7
"3","moral","Slow","MC2",4
"4","immoral","Quick","MC2",7
"4","immoral","Slow","MC2",2
"5","moral","Quick","MC2",6
"5","moral","Slow","MC2",2
"6","immoral","Quick","MC2",7
"6","immoral","Slow","MC2",1
"7","immoral","Quick","MC2",7
"7","immoral","Slow","MC2",2
"8","immoral","Quick","MC2",7
"8","immoral","Slow","MC2",1
"9","moral","Quick","MC2",7
"9","moral","Slow","MC2",1
"10","immoral","Quick","MC2",7
"10","immoral","Slow","MC2",2
"11","moral","Quick","MC2",7
"11","moral","Slow","MC2",1
"12","immoral","Quick","MC2",7
"12","immoral","Slow","MC2",1
"13","immoral","Quick","MC2",7
"13","immoral","Slow","MC2",1
"14","moral","Quick","MC2",7
"14","moral","Slow","MC2",2
